[2026-06-10 11:14:11] fan=off | temperature=25.68°C | humidity=37.95% | pressure=1012.31hPa
[2026-06-10 11:14:21] fan=on | temperature=25.89°C | humidity=38.22% | pressure=1012.23hPa
[2026-06-10 11:14:32] fan=on | temperature=25.88°C | humidity=37.55% | pressure=1012.22hPa
[2026-06-10 11:14:42] fan=on | temperature=25.68°C | humidity=37.69% | pressure=1012.24hPa
[2026-06-10 11:14:52] fan=on | temperature=25.61°C | humidity=37.95% | pressure=1012.3hPa
[2026-06-10 11:15:02] fan=on | temperature=25.57°C | humidity=37.92% | pressure=1012.28hPa
[2026-06-10 11:15:12] fan=on | temperature=25.55°C | humidity=37.7% | pressure=1012.29hPa
[2026-06-10 11:15:22] fan=on | temperature=25.58°C | humidity=37.61% | pressure=1012.28hPa
[2026-06-10 11:15:32] fan=on | temperature=25.51°C | humidity=37.77% | pressure=1012.25hPa
[2026-06-10 11:15:42] fan=on | temperature=25.61°C | humidity=38.21% | pressure=1012.3hPa
[2026-06-10 11:15:53] fan=on | temperature=25.62°C | humidity=37.99% | pressure=1012.31hPa
[2026-06-10 11:16:03] fan=on | temperature=25.66°C | humidity=38.23% | pressure=1012.29hPa
[2026-06-10 11:16:13] fan=on | temperature=25.73°C | humidity=38.23% | pressure=1012.29hPa
[2026-06-10 11:16:23] fan=on | temperature=25.78°C | humidity=38.31% | pressure=1012.32hPa
[2026-06-10 11:16:33] fan=on | temperature=25.77°C | humidity=38.03% | pressure=1012.31hPa
[2026-06-10 11:16:43] fan=on | temperature=25.7°C | humidity=38.01% | pressure=1012.3hPa
[2026-06-10 11:16:53] fan=on | temperature=25.57°C | humidity=38.07% | pressure=1012.36hPa
[2026-06-10 11:17:04] fan=on | temperature=25.54°C | humidity=38.31% | pressure=1012.3hPa
[2026-06-10 11:17:14] fan=on | temperature=25.54°C | humidity=38.33% | pressure=1012.32hPa
[2026-06-10 11:17:24] fan=on | temperature=25.61°C | humidity=38.41% | pressure=1012.31hPa
[2026-06-10 11:17:34] fan=on | temperature=25.63°C | humidity=38.63% | pressure=1012.31hPa
[2026-06-10 11:17:44] fan=on | temperature=25.63°C | humidity=38.34% | pressure=1012.32hPa
[2026-06-10 11:17:54] fan=on | temperature=25.63°C | humidity=38.48% | pressure=1012.31hPa
[2026-06-10 11:18:05] fan=on | temperature=25.83°C | humidity=38.86% | pressure=1012.29hPa
[2026-06-10 11:18:15] fan=on | temperature=26.04°C | humidity=38.37% | pressure=1012.3hPa
[2026-06-10 11:18:25] fan=on | temperature=25.94°C | humidity=37.79% | pressure=1012.3hPa
[2026-06-10 11:18:35] fan=on | temperature=25.82°C | humidity=37.96% | pressure=1012.35hPa
[2026-06-10 11:18:45] fan=on | temperature=25.78°C | humidity=37.4% | pressure=1012.33hPa
[2026-06-10 11:18:56] fan=off | temperature=25.62°C | humidity=37.78% | pressure=1012.34hPa
[2026-06-10 11:19:06] fan=off | temperature=25.84°C | humidity=37.79% | pressure=1012.33hPa
[2026-06-10 11:19:16] fan=off | temperature=28.37°C | humidity=49.47% | pressure=1012.31hPa
[2026-06-10 11:19:26] fan=on | temperature=31.38°C | humidity=50.26% | pressure=1012.34hPa
[2026-06-10 11:19:36] fan=on | temperature=28.48°C | humidity=36.8% | pressure=1012.28hPa
[2026-06-10 11:19:46] fan=off | temperature=27.71°C | humidity=38.12% | pressure=1012.31hPa
[2026-06-10 11:19:57] fan=on | temperature=32.27°C | humidity=48.91% | pressure=1012.31hPa
[2026-06-10 11:20:07] fan=on | temperature=33.15°C | humidity=49.83% | pressure=1012.29hPa
[2026-06-10 11:20:17] fan=on | temperature=33.35°C | humidity=54.64% | pressure=1012.3hPa
[2026-06-10 11:20:27] fan=on | temperature=33.38°C | humidity=55.63% | pressure=1012.32hPa
[2026-06-10 11:20:37] fan=on | temperature=33.42°C | humidity=56.84% | pressure=1012.28hPa
[2026-06-10 11:20:47] fan=on | temperature=32.37°C | humidity=58.8% | pressure=1021.62hPa
[2026-06-10 11:20:57] fan=on | temperature=32.75°C | humidity=59.19% | pressure=1023.66hPa
[2026-06-10 11:21:08] fan=on | temperature=31.21°C | humidity=44.19% | pressure=1012.3hPa
[2026-06-10 11:21:18] fan=on | temperature=46.98°C | humidity=30.48% | pressure=1012.43hPa
[2026-06-10 11:21:28] fan=on | temperature=55.21°C | humidity=16.94% | pressure=1012.13hPa
[2026-06-10 11:21:38] fan=on | temperature=46.54°C | humidity=18.52% | pressure=1012.05hPa
[2026-06-10 11:21:48] fan=on | temperature=39.9°C | humidity=21.36% | pressure=1012.08hPa
[2026-06-10 11:21:58] fan=on | temperature=35.54°C | humidity=23.8% | pressure=1012.11hPa
[2026-06-10 11:22:09] fan=on | temperature=32.94°C | humidity=27.0% | pressure=1012.14hPa
[2026-06-10 11:22:19] fan=on | temperature=31.31°C | humidity=28.32% | pressure=1012.12hPa
[2026-06-10 11:22:29] fan=on | temperature=30.15°C | humidity=29.54% | pressure=1012.16hPa
[2026-06-10 11:22:39] fan=on | temperature=29.09°C | humidity=30.84% | pressure=1012.22hPa
[2026-06-10 11:22:49] fan=on | temperature=28.15°C | humidity=32.05% | pressure=1012.22hPa
[2026-06-10 11:22:59] fan=off | temperature=27.9°C | humidity=31.95% | pressure=1012.19hPa
[2026-06-10 11:23:09] fan=off | temperature=27.89°C | humidity=32.39% | pressure=1012.25hPa
[2026-06-10 11:23:19] fan=off | temperature=27.86°C | humidity=32.76% | pressure=1012.2hPa
[2026-06-10 11:23:29] fan=off | temperature=27.82°C | humidity=32.76% | pressure=1012.19hPa
[2026-06-10 11:23:40] fan=off | temperature=27.8°C | humidity=33.32% | pressure=1012.23hPa
[2026-06-10 11:23:50] fan=on | temperature=42.46°C | humidity=21.55% | pressure=1012.06hPa
[2026-06-10 11:24:00] fan=on | temperature=39.43°C | humidity=21.89% | pressure=1012.06hPa
[2026-06-10 11:24:10] fan=on | temperature=68.62°C | humidity=10.08% | pressure=1012.5hPa
[2026-06-10 11:24:20] fan=on | temperature=62.62°C | humidity=9.98% | pressure=1012.03hPa
[2026-06-10 11:24:30] fan=on | temperature=54.79°C | humidity=12.04% | pressure=1011.99hPa
[2026-06-10 11:24:40] fan=on | temperature=69.05°C | humidity=8.49% | pressure=1012.3hPa
[2026-06-10 11:24:51] fan=on | temperature=94.0°C | humidity=2.83% | pressure=1011.98hPa
[2026-06-10 11:25:01] fan=on | temperature=90.67°C | humidity=2.16% | pressure=1011.6hPa
